peak_players,rating,total_reviews
90258,9701,94.47058226737163
52076,1079,17.057262522798105
35544,17448,47.57823794360333
4055,34524,29.85206379385805
96645,10742,30.06516476209253
74877,7802,1.2488759963087868
31031,10655,25.50758866224685
23286,15686,79.76229186879043
41772,8480,94.49000059122802
68086,20127,77.69750062020661
34435,44025,21.38362408241607
53627,5605,17.749657638422
96558,17248,18.983064717115543
90608,6002,76.04365159043662
48688,41491,84.02662506254237
34752,30614,38.8637301638652
40619,5178,10.116400305741085
83786,26110,32.46746766320791
5243,49200,58.44428547017186
51312,19604,42.25339145751611
23242,31447,30.97183925135067
42570,1283,80.24359602579375
52273,11369,91.20264292944324
62928,23163,14.96867706174105
88320,1689,27.737681509844776
69875,46867,17.239138389365625
85763,6068,25.331667988907483
88608,795,27.98463432112173
95703,7596,81.21394299624275
64023,21706,5.607452850590542
78316,41838,91.31503673616953
57751,30339,31.805179911210093
88835,40554,54.05273216751038
71866,6437,9.707143915692807
79977,39087,79.04422179126153
51931,23326,81.78517543628438
58906,35131,84.22335959197363
46909,8835,49.442834621989405
39726,2100,29.876135012196222
39109,26651,63.38333163772513
32315,34925,62.31409980469725
45637,13989,31.977901948760504
66343,19372,12.73585621333628
49702,48389,65.38802489970882
50569,16448,20.590906315774255
36394,8637,12.837714807886362
48873,13867,31.832356415941042
36597,7623,82.44205447900507
91522,349,26.008978956127894
92106,19025,61.78834672079025
19627,12223,9.129091788881928
47733,8865,5.295188416492971
46663,48336,33.83748667731656
95361,10001,61.20602726175044
42909,5136,74.73122853491788
48665,39593,12.385354702779392
14878,6813,1.9549152263386669
91798,18930,69.20480640792918
57216,37374,40.89977781208384
23433,18464,4.563361989347694
53990,15694,65.88135590135458
49936,33050,67.77836425279034
51061,19495,1.033978228477732
36597,33735,65.76973449736644
19028,5404,79.16168926809198
45171,34071,40.920044557309055
50705,32600,4.653122759796575
60818,43543,78.48335742653803
57931,47481,45.84024071500886
70151,1538,85.17848819366291
3473,48656,52.00965487218548
25936,27110,73.36559729225209
82096,5645,73.65797497184113
11511,11805,46.4715145000786
98453,39300,57.87036636584618
62555,3546,19.11191393823894
1314,42037,24.989170374568666
57512,12824,51.54643363972814
67333,42878,42.84019831599967
64189,30671,44.137294901748234
15630,46138,38.92650470661587
8581,20588,2.876305659373581
37592,1776,59.3938738991601
