peak_players,rating,total_reviews
157589,75.78669472678449,12841
98420,27.280583015618234,30454
187028,59.13775481838063,27527
32577,73.18945188587612,34995
99605,87.98925095117302,28760
135962,20.27424335646327,28738
47075,91.55513493273821,27657
248666,72.73369157837625,8217
170251,39.557638953027414,40456
102144,91.63828124604923,17482
30780,65.9711572935578,42370
243723,32.48740515257913,12507
134663,81.52442260419859,25480
232620,29.494081519960115,30020
182307,2.9449221552909703,31124
202509,73.4295522806842,14731
139895,13.970766846461812,2068
133166,87.77606695426347,1600
91861,35.809941870853116,31811
155199,90.64278042677026,31972
59893,74.8592483375093,29540
233214,51.111215115072014,15243
25156,86.32402331235402,19822
103788,31.495800803230768,14902
14927,67.67738515881605,28472
49724,19.577238362323357,8698
67816,2.7851239769384137,35825
17016,95.80687879314014,42080
126827,19.153393179576618,18481
13158,22.972292607525908,36166
140258,67.34927316600621,11516
60473,17.60754506561918,32040
74618,87.77578897448922,12373
121294,17.891861310142886,46438
58187,62.48245667487625,21772
7137,30.873912975922707,8603
158665,18.568095969058525,22988
178349,29.218421555324493,14361
205850,36.71331143883976,23281
128218,60.70138503071854,21317
224330,50.47247226385128,25321
236870,28.211334111701994,25161
40831,77.37824925014247,30682
81392,93.89737037646121,25695
7760,4.760733747798484,28199
166729,6.903937959798554,5890
31261,47.6308786300647,40855
42988,69.23525628508352,28272
239022,5.994866888587146,27337
231017,90.29771539479506,37550
175664,85.60881068876583,28906
61035,58.38506202226896,23920
195037,34.21030786929944,27911
99607,69.33808200538046,16295
92209,96.54844242385205,4594
150713,65.66100983348719,25083
238910,59.01905489760136,13946
226890,58.07348854222444,26563
228076,25.88385244089797,6799
109005,21.449876440787907,22858
238898,98.36506545237953,47229
92133,68.05178956789082,13523
163410,1.6974936003681484,47638
162519,66.68227878660319,33016
45965,39.704731267484036,32462
158995,67.99189968991665,5342
145448,43.99087149227035,12396
147423,48.747703961348634,25754
32037,66.66829507888222,16723
57933,8.659588430491844,22355
151212,62.96473459039964,5410
101390,87.33455633653573,14281
201357,71.762630519906,23322
39034,2.326710990138294,28957
211280,49.241451758254,33744
43702,92.77743396622692,15045
165447,8.903320774355937,6404
241159,69.82313371734894,5657
121073,64.0792568581864,3507
22352,11.185545013731366,7127
225006,47.60229639959866,40209
28229,87.31378236073529,48629
14325,9.910286092616241,16849
192306,50.160474047905666,46124
157374,92.15055487259053,19294
148432,5.086942584745269,38806
30967,35.59549015349481,15125
114306,30.583476035090868,4085
230212,18.805356431250193,49372
32091,4.940569735396948,10921
16559,76.36622261755808,27658
177713,72.5362343930505,3561
216514,63.5698227011523,43890
203790,66.23666567510212,27033
241382,31.366407454727085,15919
91914,27.996942297623043,6793
9571,36.32881017762027,11062
49340,8.632787063885074,40213
160248,4.020213581551012,39537
217273,97.970811663413,48465
92227,47.25050338814927,22825
248543,92.3205421324107,32597
218273,44.62053736958626,47771
40166,79.73974913291852,6513
170201,32.52368704083978,36163
11247,94.84377084845875,30940
205185,78.35025409804501,15292
228573,96.11494689737798,38235
115603,46.79963682226389,12629
16640,69.1986667038762,44895
235566,83.70540145364922,16687
108143,26.76995181255545,12606
133602,65.40017533630902,19466
15428,33.938211306462975,28453
77004,82.50220933195813,1430
86060,57.2089800091987,10040
65327,82.70428604351339,45456
190364,40.40931670255015,17172
239067,43.800953890905156,13138
189770,33.657461045507006,3255
185445,16.902067229206068,31554
165551,39.00348263194352,34524
7591,65.25277809736828,20676
220764,35.879684797307696,13010
12646,2.9596057988437883,48258
142342,2.3200588383129266,7850
132904,50.38128326680654,36283
201883,31.430581762006835,33380
215559,86.17152000187225,22978
11445,49.23236599995156,1402
9215,63.38213229655939,43919
140567,59.04687428920281,31923
247274,79.53061642303742,39033
244504,87.80147431308102,18150
9755,76.54728362827635,40388
131277,80.63836190164324,12390
225726,17.58566199844586,32729
19260,16.009510568703178,26138
217466,60.722424785941655,11613
187485,56.698130020368616,31088
177777,98.70927516093144,35325
87926,75.76267755992522,31392
42023,26.61547989583848,22944
43184,87.21011472063543,29978
229812,4.717602173616328,46740
162216,34.38998265732514,39323
151732,58.064985488236715,2848
70003,47.65759043901024,14801
244742,54.2365346215826,29330
125745,23.25122196684329,5367
211232,14.188660093861785,39714
15523,78.94240365156867,38117
62084,98.38735905151582,28741
97598,29.525434037627292,34548
213703,75.32142004824257,17272
35251,68.92712044363951,33490
116434,83.07070339596534,14272
29342,5.912702176516837,49737
105662,62.364152936488765,34582
70985,56.41564617514258,37737
106977,34.861551998080145,30131
13629,89.37235315805563,38004
247213,64.84332227265041,43884
226850,37.456791846014475,6703
28987,87.96748230281243,25841
51239,44.97600710131448,40500
153022,90.29222426471054,31497
234455,1.2199144287564032,4194
225772,47.192275782128554,38689
41769,96.58124246721489,30595
179850,36.064913741714065,18836
238287,84.16868031977076,45197
160965,4.583629481123279,35800
51613,51.77858717417939,49726
90845,97.43233599999748,18324
121705,10.849220059893936,21700
143881,18.49235594563639,42812
40457,71.7859098724434,41939
