peak_players,total_reviews,rating,review_percentage
9482,12232,77.55751153049522,92.74691614941307
72272,29820,40.32994409229078,16.099591676736637
63962,37376,46.62640781898361,34.32709331709393
42090,11448,92.51409150147094,43.148513652782
88316,35804,58.812230358598704,69.00924654072651
84334,34031,65.69672353075873,20.339598727126198
61749,36247,2.907660787922379,1.9765197026089887
13565,23706,66.71041189770804,97.67442210453538
27765,418,39.05858772136486,89.97695279068921
39838,32356,46.101017327329934,30.72198645338805
70464,41181,80.18891166207794,48.864603148129895
56362,11383,52.33177208281922,49.403100828316646
94892,41729,97.71333933604281,87.05333000699996
81754,6763,79.08749062299653,60.108953973518815
39633,13020,72.40197172855805,82.81667125302913
9584,3377,58.691292402075646,91.28742098315986
93668,17879,41.41487874272574,57.02936003954718
64663,41165,6.181488697285747,29.26276430613187
16683,44266,2.8125989281928736,50.37207277845492
81787,4858,5.5823591191705635,85.23609126369423
91708,15370,94.9659656232936,58.7782982654273
44441,32355,32.67478725648494,89.67646876668191
11735,36491,69.659729268689,89.64816491891615
55139,15646,59.24283122251433,37.96260238458747
33454,34699,57.023435524898176,45.36327566401174
45013,40430,57.765673261327024,68.113462263856
33758,1576,30.624990690315876,11.995381066086
77080,19830,87.88018945882774,47.090164526436844
62695,4080,91.08221022153597,15.789159069170795
76143,28074,64.16352695516268,84.94766222851028
25048,39810,85.66702365665988,94.33565864599792
44629,1867,6.878139658120343,15.013338677614398
57776,8744,10.838342574152886,67.06680111419305
18413,22219,55.78849001018431,64.01777968075297
14863,42908,83.95768999823943,76.24740530243153
67384,506,31.912081315720204,69.88218563433458
53149,4837,54.70947978353609,22.495774496224254
33460,39845,1.976132085439921,29.83005277028684
24184,9207,97.68974118851128,17.357989351142493
45189,47029,76.16412509459919,92.19325590710575
81799,41266,36.41907635871656,52.660523046779474
59161,32279,97.33525740429934,97.6399540560116
89291,23886,10.057942951191466,45.48286329185139
8931,42781,46.48922500632135,55.71959395303674
92535,29108,6.767425930170212,79.140098277651
20894,48049,33.826572106207365,79.92514232237474
32160,47497,22.497689623418644,23.883809637594407
20917,4571,32.02198361175042,29.540003746847358
53268,44218,93.84611297247855,10.682876917206356
88475,33666,42.864325679234945,80.74098565595622
97966,28268,32.83635950351584,79.59229064764088
62281,29015,63.79569324505266,9.044622007701761
15527,19547,67.97018072452896,26.48582647782229
34876,41791,97.40934889875287,45.53683399952099
36671,6037,54.51366168471763,54.63611541470844
82211,38110,74.75123709398945,52.73187768730074
94369,33106,38.452171887406486,98.32445348171944
67607,46291,17.76119933188254,76.64841953078366
62706,27252,43.123872085483534,12.205594399963763
32401,19845,42.04003219176795,30.056735416168
53369,49524,42.220122185923465,35.19729642803413
28944,26999,69.15123447101301,32.1996586776264
98268,31960,40.78234650480849,78.80861999105731
60840,7900,94.5079474797571,36.69556527351564
94610,35600,97.30946887365846,49.75024518976247
58690,12504,52.28942008274611,53.811962616425845
82388,12422,55.72751290290515,27.7719436555425
69891,44893,40.94738443085064,32.946883881250386
24527,14258,35.84817100432074,78.21975931325258
88578,33682,97.56200052361595,86.8016134267381
66032,4603,4.984373131199684,4.670930167964403
34144,40873,41.18845080846774,60.91030147715767
86371,49573,15.831357943896956,63.710115665654385
28045,38155,72.17546629626705,73.99361095320546
26507,45364,20.055676311584584,69.69083054798074
59107,2047,87.69528138294896,87.86502462516884
71376,40633,37.698841679492546,8.76875891290995
11458,40355,90.88057582387056,39.448851614440514
37920,31889,97.6831279483544,78.42685536587715
22166,16090,76.57479855888538,84.81142118084816
37977,46954,62.06948881722244,27.212075389785163
72385,38278,15.690363140812142,58.94312035997406
61661,44939,92.43991293908964,18.895736532946174
48578,24488,77.13293237637751,85.23854063507572
41003,14207,29.228486315796264,73.31258475605281
80666,2581,46.91318956752095,22.98444282091467
