peak_players,rating,total_reviews
90258,21592,8.254543233746457
52076,49660,43.66538586248434
35544,43275,24.16300233517878
4055,46620,6.211716187554313
96645,9827,53.726691700540805
74877,24929,16.828485467178467
31031,45806,6.1628469796839385
23286,30260,18.54305026542886
41772,42324,34.648686582524206
68086,42207,67.97281956495459
34435,29762,58.76903378840292
53627,39546,79.45916128737471
96558,41100,43.81314299661593
90608,328,64.60068566560238
48688,14996,88.14136276839581
34752,44695,96.07342030366401
40619,6015,35.71529682343521
83786,3102,90.46052156776875
5243,39868,55.4038857152612
51312,12468,7.1492873715567224
23242,6295,83.48471949248108
42570,20785,61.134672607368984
52273,16029,66.12662253274634
62928,15209,85.26482159466754
88320,22987,24.359190641790587
69875,3945,4.385045328719812
85763,48515,25.509533207502344
88608,42122,74.91579671253042
95703,21123,74.31713146871522
64023,19860,68.18420917535097
78316,3422,18.235067593563652
57751,38024,79.90070376110035
88835,33479,47.90599469430455
71866,46559,35.060503878199846
79977,11009,80.28741231415967
51931,4061,29.44384016232742
58906,17711,51.35973141722451
46909,47894,49.558345468349785
39726,41536,75.08116370809432
39109,37983,35.77946690536576
32315,6800,92.59253829036996
45637,5376,8.868636019992197
66343,14752,62.15168229225998
49702,6307,29.937792759501903
50569,40189,88.346429383824
36394,7009,22.075256593646177
48873,34895,31.1992128646572
36597,22914,74.77631136690742
91522,48919,8.351140628338172
92106,11283,21.08579758307779
19627,32411,40.275278447209395
47733,16345,81.07508939044307
46663,25291,46.943961594321976
95361,45069,18.778613168118923
42909,33477,96.98004873048116
48665,44404,40.311122358925154
14878,48976,56.45447308212063
91798,34835,36.03869577935829
57216,21476,36.840340771821374
23433,10887,17.17108875898746
53990,28409,85.99638884166042
49936,14855,34.02321280061656
51061,33634,43.923779860839566
36597,31666,32.38195950812322
19028,3895,38.58005731066575
45171,740,76.655641902068
50705,42200,35.61810449835875
60818,23166,3.4031631045700195
57931,4187,38.02723550188814
70151,13481,4.577362698482972
3473,40944,82.45663229663286
25936,31483,87.94034954390811
82096,42493,15.869550686320768
11511,28714,72.30481677193727
98453,7514,47.34939139525697
62555,18572,51.18292456929349
1314,40243,13.730244313044746
57512,25648,68.01862592446965
67333,8602,36.05666070516474
64189,33856,6.400972058906222
15630,22288,76.52945073498968
8581,23230,34.11750784419023
37592,9455,20.118457213521065
81053,35565,14.46625434169322
93650,5626,48.28507493717528
45149,34693,41.24384791010264
37071,4828,88.4127991891474
24707,46263,50.19636489802288
72804,28311,5.703688251638219
79119,815,61.87667411655752
7985,42632,40.3646478929743
14864,44858,54.01188700256603
31636,38123,42.30414536840362
41910,31950,81.55840079544777
52086,17554,94.19848759453832
52350,32031,57.88700863887834
43300,9585,40.99699132560677
98778,7115,23.292947351826715
13809,8015,70.76806670710803
32118,48812,33.14671378062124
83694,23827,50.672857176139985
31889,8085,45.968740700274815
88643,40107,79.23305313268058
61446,26694,72.8582140703188
19521,43060,7.307210266030953
62092,12873,49.98485630623254
54231,37650,1.344471968890486
45657,34634,44.46927166401913
57061,466,31.62592067063889
50486,20187,3.9979575666935627
64371,23755,51.62971155968789
30073,36080,32.16153816892096
72511,2851,22.535898826848697
77611,14921,49.395625698706056
54229,17804,64.50678279505513
3994,43208,46.74491800253663
21975,16671,10.707666562533651
24028,10023,7.701713252317254
2188,35865,20.49772549071904
68060,49764,25.768059294908035
84722,20588,67.87366503019577
30891,48701,40.49416514548908
81733,48039,38.819841301431296
7358,18511,16.7918302877122
22327,35527,5.214181932160101
41148,21217,9.021370819498275
4788,27523,50.402112440863576
56861,16580,96.08069444353134
60390,22413,73.8576868282942
46596,18001,74.73251950104031
32788,723,10.526535288599183
83315,38444,52.692441706976794
22023,32301,23.12036073314828
18608,34226,98.22540020421732
90100,11049,80.98403873878937
35174,37872,26.78687821891024
80061,6382,14.744291430915275
38048,7096,84.19147807992007
49911,25619,96.4603376914643
47782,45282,98.07243009393063
52270,45519,53.247287791320254
53552,43174,51.4135403554184
24349,15663,42.948048916825975
68466,36071,95.3617958889451
91860,44923,25.0679048664269
78234,37693,1.732853442475211
71451,39656,40.25939507530139
15113,49911,75.09868032256227
76537,35404,9.368656741693254
15251,30920,24.02536359390595
7570,23244,71.11013242776049
64308,17350,50.107864602691635
22834,21631,8.840738117261676
87912,10212,95.23298680958521
52019,36248,48.57492062840873
19060,38405,12.436676248517692
37708,25939,29.40275550022793
37063,45580,8.409910647901407
96320,13866,80.01069768650186
74067,35692,18.454015291035944
16491,32939,61.10016157767602
56333,45883,42.301568600383916
40785,16855,55.60987956155714
51411,15942,57.75137878708005
79234,1739,68.60320610222988
47696,28809,80.28344288078196
52835,43000,76.98387855318953
45847,9472,3.8473923697642247
89547,44581,56.839162607252746
90060,11902,48.96374120054658
